Date,Open,High,Low,Close,Adj Close,Volume
2012-11-23,333.734070,345.654388,327.771423,344.653168,344.653168,22994467
2012-11-30,344.364227,351.627014,339.890991,344.274567,344.274567,21425006
2012-12-07,346.202362,356.897247,339.935852,350.037964,350.037964,23777792
2012-12-14,348.279572,363.188690,347.910950,359.831268,359.831268,23580054
2012-12-21,355.651917,358.067871,348.000610,351.826263,351.826263,14447351
2012-12-28,349.534851,364.598389,346.700470,360.483826,360.483826,16579712
2013-01-04,363.308228,371.108978,360.862396,369.355560,369.355560,19986033
2013-01-11,369.614594,369.828796,354.182434,354.331879,354.331879,24715693
2013-01-18,353.853668,377.001892,346.461365,375.696808,375.696808,32744276
2013-01-25,373.983215,379.054199,371.876129,376.434021,376.434021,18001823
2013-02-01,377.684357,387.950867,377.634521,385.529938,385.529938,27252970
2013-02-08,388.608398,392.897339,385.430298,392.439056,392.439056,20035618
2013-02-15,392.229828,402.974548,392.065430,396.279633,396.279633,23953850
2013-02-22,398.137695,402.695587,390.735443,399.104065,399.104065,21785754
2013-03-01,397.410400,420.424133,396.588501,414.745422,414.745422,27945957
2013-03-08,415.691895,418.282166,407.168823,409.236084,409.236084,19688321
2013-03-15,407.721771,408.618408,399.238556,404.115265,404.115265,20029997
2013-03-22,405.848785,408.085388,395.168823,395.612152,395.612152,17752491
2013-03-29,396.020630,405.893616,394.172546,396.050507,396.050507,16130033
2013-04-05,391.562317,395.069183,382.765289,393.719238,393.719238,24954386
2013-04-12,394.516266,397.011902,379.208618,381.524963,381.524963,22466496
2013-04-19,383.143890,407.472687,381.699310,403.039307,403.039307,29711350
2013-04-26,402.292114,415.716797,396.802673,413.256012,413.256012,21216226
2013-05-03,416.917297,438.187561,416.439087,434.112854,434.112854,22648175
2013-05-10,436.020691,458.272278,434.451569,450.247375,450.247375,24332865
2013-05-17,453.310883,458.581116,435.368134,439.746735,439.746735,23855884
2013-05-24,435.995789,444.404266,430.531250,433.754181,433.754181,17441932
2013-05-31,432.439117,436.862518,422.028137,430.705597,430.705597,22081659
2013-06-07,433.584808,443.836395,431.044342,436.862518,436.862518,22172196
